best_epoch,best_val_metric,layer,test_convenience_auc,test_convenience_diagonal_margin,test_convenience_f1,test_convenience_precision,test_convenience_recall,test_cost_sensitivity_auc,test_cost_sensitivity_diagonal_margin,test_cost_sensitivity_f1,test_cost_sensitivity_precision,test_cost_sensitivity_recall,test_family_care_auc,test_family_care_diagonal_margin,test_family_care_f1,test_family_care_precision,test_family_care_recall,test_health_auc,test_health_diagonal_margin,test_health_f1,test_health_precision,test_health_recall,test_macro_auc,test_macro_f1,test_mean_diagonal_margin,val_convenience_auc,val_convenience_diagonal_margin,val_convenience_f1,val_convenience_precision,val_convenience_recall,val_cost_sensitivity_auc,val_cost_sensitivity_diagonal_margin,val_cost_sensitivity_f1,val_cost_sensitivity_precision,val_cost_sensitivity_recall,val_family_care_auc,val_family_care_diagonal_margin,val_family_care_f1,val_family_care_precision,val_family_care_recall,val_health_auc,val_health_diagonal_margin,val_health_f1,val_health_precision,val_health_recall,val_macro_auc,val_macro_f1,val_mean_diagonal_margin,val_train_loss
8,0.92875,0,0.99,0.6661117044471515,0.9,0.9,0.9,1.0,0.6583021466930707,0.9523809523809523,0.9090909090909091,1.0,0.92,0.8017386079571831,0.9090909090909091,0.8333333333333334,1.0,0.98,0.5789690622827037,0.9,0.9,0.9,0.9725,0.9153679653679654,0.6762803803450272,0.86,0.6659247406506135,0.6923076923076923,0.5625,0.9,0.96,0.4345749670639635,0.8571428571428572,0.8181818181818182,0.9,0.965,0.738482845943266,0.9090909090909091,0.8333333333333334,1.0,0.93,0.6469178907728443,0.8571428571428572,0.8181818181818182,0.9,0.92875,0.8289210789210789,0.6214751111076718,0.15231119758289083
3,0.96375,1,0.965,0.5927144041284919,0.8421052631578948,0.8888888888888888,0.8,1.0,0.7038032342369358,1.0,1.0,1.0,1.0,0.7550018165570995,1.0,1.0,1.0,0.9,0.36391809393341346,0.7058823529411764,0.8571428571428571,0.6,0.96625,0.8869969040247678,0.6038593872139851,0.885,0.6652595473142962,0.761904761904762,0.7272727272727273,0.8,0.99,0.6063340626967451,0.8421052631578948,0.8888888888888888,0.8,1.0,0.5746304236352443,1.0,1.0,1.0,0.98,0.6020861038006842,0.8421052631578948,0.8888888888888888,0.8,0.96375,0.8615288220551379,0.6120775343617424,0.30653416646962184
3,0.995,2,0.985,0.5750857176880042,0.8235294117647058,1.0,0.7,0.995,0.7817766770565262,0.9523809523809523,0.9090909090909091,1.0,1.0,0.8199916477315128,1.0,1.0,1.0,0.985,0.5064136951851348,0.888888888888889,1.0,0.8,0.99125,0.9161998132586368,0.6708169344152946,0.995,0.856733292589585,0.8,0.6666666666666666,1.0,0.99,0.7352373357707014,0.9,0.9,0.9,0.995,0.6234458113399646,0.9523809523809523,0.9090909090909091,1.0,1.0,0.7109624483312169,0.9473684210526316,1.0,0.9,0.995,0.899937343358396,0.7315947220078669,0.22255778324052095
5,0.9675,3,0.965,0.5309880959801376,0.7777777777777777,0.875,0.7,1.0,0.7872261768983057,0.9523809523809523,0.9090909090909091,1.0,1.0,0.7218229371743897,0.9523809523809523,0.9090909090909091,1.0,0.935,0.5505001680304606,0.9,0.9,0.9,0.975,0.8956349206349206,0.6476343445208235,0.895,0.672377175760145,0.7272727272727272,0.6666666666666666,0.8,0.995,0.7229757423823078,0.9523809523809523,0.9090909090909091,1.0,0.98,0.45180580060308184,0.9473684210526316,1.0,0.9,1.0,0.7032641383819282,0.9090909090909091,0.8333333333333334,1.0,0.9675,0.884028252449305,0.6376057142818657,0.17580907919481523
8,0.9525,4,0.97,0.7217251751106233,0.8571428571428572,0.8181818181818182,0.9,0.95,0.6549865158740431,0.9,0.9,0.9,1.0,0.8394145598334337,0.9523809523809523,0.9090909090909091,1.0,0.965,0.5286678612416533,0.7777777777777777,0.875,0.7,0.97125,0.8718253968253968,0.6861985280149383,0.87,0.6201548710523639,0.6363636363636365,0.5833333333333334,0.7,0.955,0.6240918677533046,0.8421052631578948,0.8888888888888888,0.8,0.99,0.48190859243040907,0.9473684210526316,1.0,0.9,0.995,0.7403326483627704,0.9090909090909091,0.8333333333333334,1.0,0.9525,0.833732057416268,0.616621994899712,0.1015791417520811
8,0.9924999999999999,5,0.985,0.7342891462312158,0.8421052631578948,0.8888888888888888,0.8,1.0,0.8726800632372034,0.9523809523809523,0.9090909090909091,1.0,0.975,0.5893249333787631,0.888888888888889,1.0,0.8,1.0,0.6578859344658364,0.9473684210526316,1.0,0.9,0.99,0.9076858813700919,0.7135450193282546,0.98,0.8812451351773537,0.9,0.9,0.9,1.0,0.8004613536371229,1.0,1.0,1.0,0.99,0.5389718937406239,0.888888888888889,1.0,0.8,1.0,0.710005815103068,0.9523809523809523,0.9090909090909091,1.0,0.9924999999999999,0.9353174603174603,0.7326710494145421,0.12021902681028168
6,0.9975,6,1.0,0.8807318435904259,1.0,1.0,1.0,1.0,0.8959052380077386,0.9523809523809523,0.9090909090909091,1.0,0.98,0.4110296142908434,0.8235294117647058,1.0,0.7,1.0,0.5355538720226225,0.888888888888889,1.0,0.8,0.995,0.9161998132586368,0.6808051419779075,1.0,0.9447064948442857,0.8695652173913044,0.7692307692307693,1.0,0.99,0.85494624125616,0.9090909090909091,0.8333333333333334,1.0,1.0,0.6189748501870782,0.9473684210526316,1.0,0.9,1.0,0.8081454460412109,1.0,1.0,1.0,0.9975,0.9315061368837113,0.8066932580821837,0.0842640318298077
6,0.98625,7,1.0,0.7160525968065485,0.9523809523809523,0.9090909090909091,1.0,1.0,0.7845827202623089,0.9523809523809523,0.9090909090909091,1.0,1.0,0.7985858306288719,0.9090909090909091,0.8333333333333334,1.0,0.995,0.4373158640383432,0.888888888888889,1.0,0.8,0.99875,0.9256854256854257,0.6841342529340182,0.965,0.8047922477126122,0.9090909090909091,0.8333333333333334,1.0,0.995,0.5591799398884177,0.9473684210526316,1.0,0.9,1.0,0.7195835164748132,0.9090909090909091,0.8333333333333334,1.0,0.985,0.5679138625118261,0.8571428571428572,0.8181818181818182,0.9,0.98625,0.9056732740943267,0.6628673916469173,0.09760312939157716
6,0.99,8,1.0,0.8693438985346196,0.9523809523809523,0.9090909090909091,1.0,1.0,0.7866190431949993,1.0,1.0,1.0,1.0,0.6956280708545819,1.0,1.0,1.0,0.99,0.5681841792849203,0.9,0.9,0.9,0.9975,0.9630952380952381,0.7299437979672803,0.98,0.8580582943376308,0.8571428571428572,0.8181818181818182,0.9,0.99,0.6251981345781435,0.8571428571428572,0.8181818181818182,0.9,1.0,0.5761152822155662,1.0,1.0,1.0,0.99,0.7157058192339415,0.8695652173913044,0.7692307692307693,1.0,0.99,0.8959627329192548,0.6937693825913205,0.0553897836169284
7,0.99625,9,0.995,0.7657035955189107,0.9473684210526316,1.0,0.9,1.0,0.6941178018343634,1.0,1.0,1.0,1.0,0.594201846467331,1.0,1.0,1.0,0.995,0.5944551346513132,0.9473684210526316,1.0,0.9,0.9975,0.9736842105263158,0.6621195946179795,1.0,0.8625189919664991,0.9523809523809523,0.9090909090909091,1.0,1.0,0.8453575537811654,0.9090909090909091,0.8333333333333334,1.0,0.995,0.6757438279649552,0.9473684210526316,1.0,0.9,0.99,0.7422260028620561,0.9090909090909091,0.8333333333333334,1.0,0.99625,0.9294827979038505,0.7814615941436689,0.02994340010642239
5,0.9824999999999999,10,1.0,0.6893898635248964,0.9473684210526316,1.0,0.9,1.0,0.8920788895804436,0.9523809523809523,0.9090909090909091,1.0,1.0,0.6081614120242496,1.0,1.0,1.0,0.99,0.6936233664009099,0.9523809523809523,0.9090909090909091,1.0,0.9975,0.963032581453634,0.7208133828826249,1.0,0.8558618623375273,1.0,1.0,1.0,0.99,0.8345569800663118,0.9,0.9,0.9,0.99,0.5729288894527902,0.9473684210526316,1.0,0.9,0.95,0.8508001549169422,0.9090909090909091,0.8333333333333334,1.0,0.9824999999999999,0.9391148325358851,0.7785369716933929,0.07029709233501365
